		
No	ID	セリフ内容
1	101001	おまんこにちんぽ嵌めて下さいぃ！
2	101002	おちんぽ……おまんこでシコシコしますぅ！
3	101003	んっんっんっ──んっふぅうう！
4	101004	わたしの……　子宮にまでおちんぽが来てますぅう！
5	101005	頭がおかしくなりそうな程に感じちゃいますぅ！
6	101006	もう、我慢……む、り！　アクメする！
7	101007	ちんぽ……ほぉおお！　ちんぽ、よすぎて……イキます！
8	101008	あおおお！　んぉおおお！　おんっおんっ……おんん！
9	201001	お客様方のおちんぽにご奉仕をさせていただきます♡
10	201002	私のおまんこ、手のシコシコ……気持ちいいですかぁ？
11	201003	あっふ、んひんんっ！
12	201004	お客様のちんぽがドジュドジュ当たっています♡
13	201005	おちんぽ、すっごく気持ちいいですぅ♡
14	201006	ふひぃい！　イッてしまい……ましたぁああ♡
15	201007	激しいの駄目ですぅ！おまんこ感じ過ぎちゃいますぅ！
16	201008	ふぉおお！　んぉおお！　おんっおんっ……おんんん！
17	301001	ちんぽミルク……ドクドク注ぎ込んで下さい♡
18	301002	こんなの挿入れられただけで、イキますぅ♡
19	301003	あああ……んっはぁぁああ♡
20	301004	ちんぽ……気持ち、いい……で、すぅう♡
21	301005	頭グチャグチャになりそうなくらい……いいですぅうう！
22	301006	射精して下さいぃ！　種付け！　種付けお願いしますぅ！
23	301007	あああ！　止まらない！　イクの……とまりませんん♡
24	301008	ふひぉおお！　おお！　んぉおおおお！
25	401001	私に……罪を償わせて下さい……お願いします♡
26	401002	これ、あっついです。すごくちんぽあっつい。
27	401003	おっぱい、動かすたびにすごくイヤらしい音が響きます。
28	401004	どびゅどびゅ……私にぶっかけて……下さいぃ♡
29	401005	おっぱいで擦ってるだけでイッてしまいそうです。
30	401006	最高にいいですぅ♡　おまんこ犯されてるみたい！
31	401007	私……イッちゃいます！　イッちゃいそうですぅ！
32	401008	あっふ……んひんんっ！　んっふぅうう♡
33	501001	皆様のおちんぽをおまんこで感じさせてください♡
34	501002	ほぉおおっ！　おっほぉおおおっ♡
35	501003	挿入れられただけで……達してしまいそうな程ですよぉ♡
36	501004	感じる！　んぉおおっ！　すっごく感じる！
37	501005	ちんぽが膣中で……ビクビクしていますぅ♡
38	501006	んぉおおおっ！　ふっおぉおお♡
39	501007	子宮全部を……貴方のちんぽ汁で満たして下さいぃ！
40	501008	おひぉおお！　んぉおおっ！　ふぉおおおっ！
41	601001	ちんぽ……すっごく大きくなっていますねぇ……。
42	601002	見てるだけでおまんこが疼いちゃいますぅ♡
43	601003	常にまんこに挿入れる為の準備ができているのですぅ♡
44	601004	遠慮無く……私を…………滅茶苦茶にして……くださいぃ♡
45	601005	イッてしまいそうなくらい、私……感じちゃっていますぅ♡
46	601006	こんなの……簡単に……イッてしまいます！
47	601007	イッく！　イクイクイク──いっぎゅぅうう♡
48	601008	んぉおお！　ふっほぉおおお♡♡♡
49	701001	亀頭……すっごく膨らんでいますよ
50	701002	もう、我慢できないってちんぽがいってますよ。
51	701003	私の身体で、全身を気持ち良くして差し上げますね。
52	701004	私もイキますから……だから一緒に。
53	701005	い……イッく♡　あっは、んはぁあ！
54	701006	イク！　尻ズリでイッてしまいます！
55	701007	どびゅどびゅって私に精液ぶっかけて下さい。
56	701008	イッくぅう！　んんん！　あふぁああ♡
57	801001	早速この立派なおちんぽを挿入致しますね。
58	801002	大きい……すっごく大きいちんぽです。
59	801003	おまんこをゴリゴリ削られてるみたいな感触です！
60	801004	イッくぅ★　あああ……んふぁあああ★
61	801005	下からの突き上げで、子宮が潰れてしまいそうです！
62	801006	ちんぽ……深すぎますぅ！　ふぉおおお！　くほぉお！
63	801007	お願いしますぅ！私の中に沢山注いで下さいぃ！
64	801008	おおお！　んぉおおおっ、ふっほぉおおお♡
65	901001	（私のおまんこに美味しいおちんぽぶち込んで下さい♪）
66	901002	（おまんこを通じてちんぽの形が分かっちゃいます。）
67	901003	（もっと激しく……もっとズンズンして下さい。）
68	901004	もっお！　もぉおお！　おっおっ！　もほぉおおおっ！
69	901005	（激しく……膣中を突きまくってきていますぅ！）
70	901006	（ズンズンするたびにおちんぽが膨れてますぅ）
71	901007	（射精して……お腹いっぱいにして下さいっ！）
72	901008	もっほ！　ほもぉおおおおおっ♡
73	101101	Please stuff your dick into my pussy!
74	101102	Your dick...... It's stroking inside my pussy!
75	101103	Nnh nnh hnh--- Hnnghhhhh!
76	101104	Your dick is coming all the way...... to my womb!
77	101105	I'm feeling so good I'm going crazy!
78	101106	I, can't, h-hold! Cumming!
79	101107	Dick...... Oooohhh! Your dick, is too good......
80	101108	Oooh! Oooohhh! Oh, ooh...... Ohh!
81	201101	Please allow me to service all your dicks♡
82	201102	My pussy, my stroking hand...... Do they feel good?
83	201103	Ahn, nnngh!
84	201104	Your dick's thrusting my inside♡
85	201105	Dick, feels soooo good♡
86	201106	Nnhhii! I just...... came♡
87	201107	I can't take it too roughly! My pussy's feeling too good!
88	201108	Uoooh! Oohhh! Oh, ooh...... Ohh!
89	301101	Please pour your...... dick milk inside me♡
90	301102	Just inserting this, is making me cum♡
91	301103	Aaaah...... Ngghhaaaahhh♡
92	301104	Dick...... feels, so...... g-goooood♡
93	301105	It's so good...... my mind's turning into a mess!
94	301106	Please ejacuate! Seed me! Please give me your seeds!
95	301107	Aaah! It won't stop! I can't...... stop cumming♡
96	301108	Uuooooh! Ooh! Oooooohhhhh!
97	401101	Please...... let me...... atone for my sins♡
98	401102	This is, so hot. Your dick is burning.
99	401103	Each time I move my boobs, they make such lewd sounds.
100	401104	Shoot it...... Please spray it...... all over me♡
101	401105	I'm going to cum just by rubbing you with my boobs.
102	401106	This is so good♡ It's almost like getting my pussy violated!
103	401107	I'm...... going to cum! I'll cum!
104	401108	Ahn...... Hnnngg! Ugh♡
105	501101	Everybody, please pleasure your dicks with my pussy♡
106	501102	Uooohh! Ooh, oooooh♡
107	501103	I'm about to orgasm...... just by putting it in♡
108	501104	I'm feeling it! Ohhh! It feels so good!
109	501105	Your dick...... is throbbing inside my vagina♡
110	501106	Ooooooh! Uuuooohh♡
111	501107	Please fill my entire womb...... with your dick juices!
112	501108	Ohooohhh! Oooh! Uuuooohhh!
113	601101	Your dick...... is getting really big......
114	601102	My pussy's itching just by looking at it♡
115	601103	You are totally ready to get inside my pussy♡
116	601104	Don't hold back...... Please...... violate me...... make a mess out of me♡
117	601105	I'm feeling so good, I'm...... about to cum♡
118	601106	This will...... make me cum...... in no time!
119	601107	I'm cumming! Cumming cumming cumming--- I'm cummiiiiing♡
120	601108	Ooohhh! Uooooohhhhh♡♡♡
121	701101	Your glans...... is so swelled up
122	701102	Your dick is telling me it can't wait any longer.
123	701103	I'll pleasure you, with my whole body.
124	701104	I'm cumming too...... so please, together.
125	701105	I'm...... cumming♡ Ahh ah, haaaahh!
126	701106	I'm cumming! I'm gonna cum from buttjob!
127	701107	Please shoot and splatter your semen all over me.
128	701108	Cumming! Nnnnngh! Ahaaaahh♡
129	801101	Allow me to insert your manly dick right away.
130	801102	So big...... Your dick is really huge.
131	801103	It feels like it's scraping my pussy!
132	801104	Cumming★ Aaaahh...... Nhhaaaahh★
133	801105	You thrusting me from below, it's like my womb's getting crushed!
134	801106	Dick...... So deep! Uuoooohh! Oooh!
135	801107	Please! Pour lots inside meeee!
136	801108	Oooh! Oooooohh, uuoohhhhh♡
137	901101	(Please smash your tasty dick into my pussy♪)
138	901102	(I can feel the shape of your dick through my pussy.)
139	901103	(Rougher...... Please do me harder.)
140	901104	Ooohh! Ohhhhhh! Oh oh! Uuuoooohhh!
141	901105	(So intense...... It's thrusting my vagina so fiercefully!)
142	901106	(Your dick swells up with each thrust)
143	901107	(Please ejaculate...... and fill me up to the brim!)
144	901108	Oooh! Uuuuuooooooohhhh♡
