JP	EN	TW	KOR	CN
クリッカー催眠術～シスターが催眠調教で快楽堕ち～	Hypnosis Sister Clicker			
アイテム	Item			
催眠P	Hypnosis Pt			
衣装切替	Skin			
CG切替	CG			
ギャラリー	Gallery			
Auto	Auto			
レコード	Stats			
総プレイ時間	Total play time			
総クリック数	Total click			
フィーバー発生回数	Number of fever generated			
総生産催眠P	Total production hypnosis P			
消費催眠P	Consumption hypnosis P			
累計アイテム強化	Cumulative items enhancement			
催眠日数	Hypnosis number			
催眠度	Hypnosis			
奉仕回数	Number of services			
経験人数	Experienced number			
自慰回数	Number of masturbations			
絶頂回数	Number of orgasm			
膣内射精回数	Number of creampie			
精飲回数	Number of  drink semen			
潮吹き回数	Number of squirting			
総精液量	Total semen			
膣内射精量	Amount of creampie			
精飲量	Amount of drink semen			
潮吹き量	Amount of squirting			
毎秒:	Sec:			
はい	Yes			
いいえ	No			
確定	Confirm			
取り消し	Cancel			
閉じる	Close			
オプション	Options			
言語設定	Language Settings			
セーブデータ	Save Data			
データ保存	Save			
データ削除	Delete Save Data			
一般設定	General Settings			
フルスクリーン	Full Screen			
BGM	BGM			
SE	SE			
サウンド	Sound			
音量	Volume			
スクリーンサイズリセット	Screen size reset			
ゲームデータ削除	Delete Save Data			
ゲーム終了	Quit Game			
ゲームのプレイデータを削除します\nよろしいですか？	Do you really want to delete save data?			
ゲームのプレイデータを削除しました	Save data is deleted			
ゲームを終了しますか？	Do you want to exit the game?			
シスター	Sister			
裸	Naked			
ボディペイント	Body paint			
ウェイトレス	Waitress			
囚人服	Prison uniform			
ギャル	Gal			
痴女	Slut			
CG1	CG1			
CG2	CG2			
CG3	CG3			
CG4	CG4			
CG5	CG5			
CG6	CG6			
CG7	CG7			
CG8	CG8			
CG9	CG9			
超速モード	Fast Mode			
ペンデュラム	Pendulum			
媚薬	Aphrodisiac			
教典	Scriptures			
ローター	Rotor			
指輪	Rng			
ローション	Lotion			
ブレスレット	Bracelet			
お香	Incense			
ネックレス	Necklace			
ディルド	Dildo			
蝋燭	Candle			
バイブ	Vibrator			
ハンドベル	Handbell			
セクシー下着	Sexy Underwear			
天使像	Angel Statue			
淫紋	Lewd Crest			
杯	Sexual Cup			
十字のオブジェクト	Cross Object			
首輪	Collar			
教祖像	Guru Statue			
残り:	Remaining:			
