	JP		EN		TW		KOR		CN	
	覚醒名	説明文	覚醒名	説明文	覚醒名	説明文	覚醒名	説明文	覚醒名	説明文
	初めの一歩	ユグドラシルの葉の効率が2倍になる	First Steps	Yggdrasill's Leaf are 2 times more efficient	最初的一步	世界之樹的葉子的效率提高了2倍	첫걸음	위그드라실의 잎사귀의 효율이 2배 증가	最初的一步	世界之树的叶子的效率提高了2倍
	緑の翼	ユグドラシルの葉の効率が2倍になる	Green Wings	Yggdrasill's Leaf are 2 times more efficient	綠色的翅膀	世界之樹的葉子的效率提高了2倍	녹색의 날개	위그드라실의 잎사귀의 효율이 2배 증가	绿色的翅膀	世界之树的叶子的效率提高了2倍
	地を這う者	ユグドラシルの葉の効率が2倍になる	Earth Crawler	Yggdrasill's Leaf are 2 times more efficient	在地球上爬行的人	世界之樹的葉子的效率提高了2倍	땅을 기어가는 자	위그드라실의 잎사귀의 효율이 2배 증가	在地球上爬行的人	世界之树的叶子的效率提高了2倍
	大地の贈り物	ユグドラシルの葉の効率が2倍になる	Gift from the Earth	Yggdrasill's Leaf are 2 times more efficient	大地的禮物	世界之樹的葉子的效率提高了2倍	대지의 선물	위그드라실의 잎사귀의 효율이 2배 증가	大地的礼物	世界之树的叶子的效率提高了2倍
	自然の調和者 	ユグドラシルの葉の効率が3倍になる	Harmonizer of Nature	Yggdrasill's Leaf are 3 times more efficient	自然的和諧者	世界之樹的葉子的效率提高了3倍	자연의 조율자	위그드라실의 잎사귀의 효율이 3배 증가	自然的和谐者	世界之树的叶子的效率提高了3倍
	聖霊の友	ユグドラシルの葉の効率が2倍になる	Spirit's Friend	Yggdrasill's Leaf are 2 times more efficient	精神的朋友	世界之樹的葉子的效率提高了2倍	성령의 친구	위그드라실의 잎사귀의 효율이 2배 증가	精神的朋友	世界之树的叶子的效率提高了2倍
	風の翼	ユグドラシルの葉の効率が5倍になる	Wind Wings	Yggdrasill's Leaf are 5 times more efficient	風的翅膀	世界之樹的葉子的效率提高了5倍	바람의 날개	위그드라실의 잎사귀의 효율이 5배 증가	风的翅膀	世界之树的叶子的效率提高了5倍
	光の導き手	ユグドラシルの葉の効率が2倍になる	Guide of Light	Yggdrasill's Leaf are 2 times more efficient	光明的嚮導	世界之樹的葉子的效率提高了2倍	빛의 인도자	위그드라실의 잎사귀의 효율이 2배 증가	光明的向导	世界之树的叶子的效率提高了2倍
	聖なる力	ユグドラシルの葉の効率が10倍になる	Sacred Power	Yggdrasill's Leaf are 10 times more efficient	神聖的力量	世界之樹的葉子的效率提高了10倍	신성한 힘	위그드라실의 잎사귀의 효율이 10배 증가	神圣的力量	世界之树的叶子的效率提高了10倍
	鋼鉄の意志	ユグドラシルの葉の効率が2倍になる	Will of Steel	Yggdrasill's Leaf are 2 times more efficient	鋼鐵的意志	世界之樹的葉子的效率提高了2倍	강철의 의지	위그드라실의 잎사귀의 효율이 2배 증가	钢铁的意志	世界之树的叶子的效率提高了2倍
	魔法の守護者	ユグドラシルの葉の効率が2倍になる	Guardian of Magic	Yggdrasill's Leaf are 2 times more efficient	魔法的守護者	世界之樹的葉子的效率提高了2倍	마법의 수호자	위그드라실의 잎사귀의 효율이 2배 증가	魔法的守护者	世界之树的叶子的效率提高了2倍
	黄金の守護者	ユグドラシルの葉の効率が2倍になる	Guardian of Gold	Yggdrasill's Leaf are 2 times more efficient	黃金的守護者	世界之樹的葉子的效率提高了2倍	황금의 수호자	위그드라실의 잎사귀의 효율이 2배 증가	黄金的守护者	世界之树的叶子的效率提高了2倍
	魂の収集者	ユグドラシルの葉の効率が5倍になる	Souls Gatherer	Yggdrasill's Leaf are 5 times more efficient	靈魂的收集者	世界之樹的葉子的效率提高了5倍	영혼 수집가	위그드라실의 잎사귀의 효율이 5배 증가	灵魂的收集者	世界之树的叶子的效率提高了5倍
	神秘の探求者	ユグドラシルの葉の効率が2倍になる	Seeker of Mystery	Yggdrasill's Leaf are 2 times more efficient	神秘事物的探索者	世界之樹的葉子的效率提高了2倍	신비의 탐구자	위그드라실의 잎사귀의 효율이 2배 증가	神秘事物的探索者	世界之树的叶子的效率提高了2倍
	時間の支配者	ユグドラシルの葉の効率が2倍になる	Ruler of Time	Yggdrasill's Leaf are 2 times more efficient	時間的統治者	世界之樹的葉子的效率提高了2倍	시간의 지배자	위그드라실의 잎사귀의 효율이 2배 증가	时间的统治者	世界之树的叶子的效率提高了2倍
	不滅の意志	ユグドラシルの葉の効率が2倍になる	Immortal Will	Yggdrasill's Leaf are 2 times more efficient	不朽的意志	世界之樹的葉子的效率提高了2倍	불멸의 의지	위그드라실의 잎사귀의 효율이 2배 증가	不朽的意志	世界之树的叶子的效率提高了2倍
	宇宙の探求者	ユグドラシルの葉の効率が2倍になる	Explorer of Universe	Yggdrasill's Leaf are 2 times more efficient	宇宙的探索者	世界之樹的葉子的效率提高了2倍	우주의 탐구자	위그드라실의 잎사귀의 효율이 2배 증가	宇宙的探索者	世界之树的叶子的效率提高了2倍
	世界の支配者	ユグドラシルの葉の効率が5倍になる	Ruler of the World	Yggdrasill's Leaf are 5 times more efficient	世界的統治者	世界之樹的葉子的效率提高了5倍	세계의 지배자	위그드라실의 잎사귀의 효율이 5배 증가	世界的统治者	世界之树的叶子的效率提高了5倍
	学びの旅人	ワタリガラスの効率が2倍になる	Traveler of Learning	Raven are 2 times more efficient	學習的旅行者	烏鴉的效率提高了2倍	배움의 여행자	도래하는 까마귀의 효율이 2배 증가	学习的旅行者	乌鸦的效率提高了2倍
	冒険者	ワタリガラスの効率が2倍になる	Adventurer	Raven are 2 times more efficient	冒險家	烏鴉的效率提高了2倍	모험가	도래하는 까마귀의 효율이 2배 증가	冒险家	乌鸦的效率提高了2倍
	探究者	ワタリガラスの効率が2倍になる	Researcher	Raven are 2 times more efficient	探究者	烏鴉的效率提高了2倍	탐구자	도래하는 까마귀의 효율이 2배 증가	探究者	乌鸦的效率提高了2倍
	自然の守り手	ワタリガラスの効率が2倍になる	Defender of Nature	Raven are 2 times more efficient	自然界的捍衛者	烏鴉的效率提高了2倍	자연의 수호자	도래하는 까마귀의 효율이 2배 증가	自然界的捍卫者	乌鸦的效率提高了2倍
	勇敢な戦士	ワタリガラスの効率が3倍になる	Brave Warrior	Raven are 3 times more efficient	勇敢的戰士	烏鴉的效率提高了3倍	용감한 전사	도래하는 까마귀의 효율이 3배 증가	勇敢的战士	乌鸦的效率提高了3倍
	天空の舞者	ワタリガラスの効率が2倍になる	Dancer of the Sky	Raven are 2 times more efficient	天空的舞者	烏鴉的效率提高了2倍	하늘의 춤꾼	도래하는 까마귀의 효율이 2배 증가	天空的舞者	乌鸦的效率提高了2倍
	真実の探求者	ワタリガラスの効率が2倍になる	Seeker of Truth	Raven are 2 times more efficient	真理的探索者	烏鴉的效率提高了2倍	진실의 탐구자	도래하는 까마귀의 효율이 2배 증가	真理的探索者	乌鸦的效率提高了2倍
	幻想の冒険者	ワタリガラスの効率が2倍になる	Adventurer of Illusion	Raven are 2 times more efficient	幻覺的冒險者	烏鴉的效率提高了2倍	환상의 모험가	도래하는 까마귀의 효율이 2배 증가	幻觉的冒险者	乌鸦的效率提高了2倍
	天空の旅人	ワタリガラスの効率が2倍になる	Traveler of Sky	Raven are 2 times more efficient	天空的旅行者	烏鴉的效率提高了2倍	천공의 여행자	도래하는 까마귀의 효율이 2배 증가	天空的旅行者	乌鸦的效率提高了2倍
	時空を超える者	ワタリガラスの効率が5倍になる	Transcenders of Time and Space	Raven are 5 times more efficient	超越時間和空間的人	烏鴉的效率提高了5倍	시공을 초월한 자	도래하는 까마귀의 효율이 5배 증가	超越时间和空间的人	乌鸦的效率提高了5倍
	魂の輝き	ワタリガラスの効率が2倍になる	Shine of Soul	Raven are 2 times more efficient	靈魂的閃光者	烏鴉的效率提高了2倍	영혼의 빛	도래하는 까마귀의 효율이 2배 증가	灵魂的闪光者	乌鸦的效率提高了2倍
	魂の紡ぎ手	ワタリガラスの効率が2倍になる	Weaver of Soul	Raven are 2 times more efficient	靈魂的編織者	烏鴉的效率提高了2倍	영혼을 잇는 자	도래하는 까마귀의 효율이 2배 증가	灵魂的编织者	乌鸦的效率提高了2倍
	知恵の探求者	ワタリガラスの効率が5倍になる	Seeker of Wisdom	Raven are 5 times more efficient	智慧的追求者	烏鴉的效率提高了5倍	지혜의 탐구자	도래하는 까마귀의 효율이 5배 증가	智慧的追求者	乌鸦的效率提高了5倍
	時空を操る者	ワタリガラスの効率が3倍になる	Manipulator of Time and Space	Raven are 3 times more efficient	時間和空間的操縱者	烏鴉的效率提高了3倍	시공간을 조종하는 자	도래하는 까마귀의 효율이 3배 증가	时间和空间的操纵者	乌鸦的效率提高了3倍
	運命の導き手	ワタリガラスの効率が3倍になる	Guide of Destiny	Raven are 3 times more efficient	命運的嚮導	烏鴉的效率提高了3倍	운명의 인도자	도래하는 까마귀의 효율이 3배 증가	命运的向导	乌鸦的效率提高了3倍
	宇宙の航海者	ワタリガラスの効率が3倍になる	Voyager of Universe	Raven are 3 times more efficient	宇宙的領航者	烏鴉的效率提高了3倍	우주의 항해자	도래하는 까마귀의 효율이 3배 증가	宇宙的领航者	乌鸦的效率提高了3倍
	超越する者	ワタリガラスの効率が3倍になる	Transcendent One	Raven are 3 times more efficient	超越者	烏鴉的效率提高了3倍	초월자	도래하는 까마귀의 효율이 3배 증가	超越者	乌鸦的效率提高了3倍
	真理の探求者	ワタリガラスの効率が5倍になる	Seeker of Truth	Raven are 5 times more efficient	尋求真理的人	烏鴉的效率提高了5倍	진리 탐구자	도래하는 까마귀의 효율이 5배 증가	寻求真理的人	乌鸦的效率提高了5倍
	土壌の修復士	人族の農場の効率が2倍になる	Soil Repairer	Human's Farm are 2 times more efficient	土壤恢復者	人類的農莊的效率提高了2倍	토양 복원자	인족의 농장의 효율이 2배 증가	土壤恢复者	人类的农庄的效率提高了2倍
	収穫の達人	人族の農場の効率が2倍になる	Harvest Expert	Human's Farm are 2 times more efficient	收穫大師	人類的農莊的效率提高了2倍	수확의 달인	인족의 농장의 효율이 2배 증가	收获大师	人类的农庄的效率提高了2倍
	農業のプロ	人族の農場の効率が2倍になる	Agricultural Professional	Human's Farm are 2 times more efficient	農業專家	人類的農莊的效率提高了2倍	농업 전문가	인족의 농장의 효율이 2배 증가	农业专家	人类的农庄的效率提高了2倍
	緑の大地の守り手	人族の農場の効率が2倍になる	Defenders of the Green Earth	Human's Farm are 2 times more efficient	綠色土地的捍衛者	人類的農莊的效率提高了2倍	푸른 땅의 수호자	인족의 농장의 효율이 2배 증가	绿色土地的捍卫者	人类的农庄的效率提高了2倍
	自給自足の生活者	人族の農場の効率が2倍になる	Self-sufficient Livelihoods	Human's Farm are 2 times more efficient	自給自足的居民	人類的農莊的效率提高了2倍	자급자족 생활자	인족의 농장의 효율이 2배 증가	自给自足的居民	人类的农庄的效率提高了2倍
	土地改良の達人	人族の農場の効率が2倍になる	Land Improvement Expert	Human's Farm are 2 times more efficient	土地改革者	人類的農莊的效率提高了2倍	토지 개량의 달인	인족의 농장의 효율이 2배 증가	土地改革者	人类的农庄的效率提高了2倍
