JP	EN	TW	KOR	CN
ペンデュラム	Yggdrasill's Leaf	世界之樹的葉子	위그드라실의 잎사귀	世界之树的叶子
媚薬	Raven	烏鴉	도래하는 까마귀	乌鸦
教典	Human's Farm	人類的農莊	인족의 농장	人类的农庄
ローター	Fountain of Dark Elves	黑暗精靈的噴泉	다크엘프의 샘	黑暗精灵的喷泉
指輪	Forge of Dwarves	德維爾格的鍛造廠	드베르그의 대장간	德维尔格的锻造厂
ローション	Vanir's Shrine	華納神族的祭祀大廳	바니르 신족의 제사장	华纳神族的祭祀大厅
ブレスレット	Sacred Forest	神聖的樹海	신성한 수해	神圣的树海
お香	Tyr's Temple	提爾神廟	티르의 신전	提尔神庙
ネックレス	Elves' Herb Garden	精靈草藥園	엘프의 허브정원	精灵草药园
ディルド	Otherworld's Portal	異世界的傳送門	이계의 워프 게이트	异世界的传送门
ろうそく	Gate to the Underworld	通往冥界之門	지하세계의 문	通往冥界之门
バイブ	Clouds of Sacred Mountain	雲霧之海	영봉의 운해	云雾之海
ハンドベル	Cosmos Ship	宇宙之船	코스모스의 방주	宇宙之船
セクシー下着	Prophet of the Asgard	阿斯加德的先知	아스가르드의 예언자	阿斯加德的先知
天使像	The Legendary Codex	傳說的法典	전설의 법전	传说的法典
淫紋	Light of the Gods	諸神的光輝	신들의 광채	诸神的光辉
杯	Hell Purifier	地獄淨化器	지옥 정화 장치	地狱净化器
十字のオブジェクト	Outerworld's Friend	外部世界的朋友	외계의 친구	外部世界的朋友
首輪	Mystical Cyclone	神秘的漩渦	신비의 소용돌이	神秘的漩涡
教祖像	The Primordial Singularity	原始的奇點	태초의 특이점	原始的奇点
神の恵み	God's Blessings	上帝的恩典	신의 은총	上帝的恩典
ユグドラシル	Yggdrasill	世界樹	위그드라실	世界树
聖霊	Holy Spirit	聖靈	성령	圣灵
覚醒	Awakening	覺醒	각성	觉醒
催眠P	Stella	星辰	스텔라	星辰
ステラの欠片	Stella's Fragment	星辰碎片	스텔라 조각	星辰碎片
ビフレストの欠片	Bifrost's Fragment	彩虹橋碎片	비프로스트 조각	彩虹桥碎片
超越ワープ	Transcendent Warp	超級躍遷	초월 워프	超级跃迁
夜空のステラ	Stella of Night Sky	夜空恒星	밤하늘의 스텔라	夜空恒星
ラグナロク	Ragnarok	諸神黃昏	라그나로크	诸神黄昏
ユグドラシルの種	Yggdrasill's Seed	世界樹之種	위그드라실의 씨앗	世界树之种
生命の実	The Fruit of Life	生命之果	생명의 열매	生命之果
神々の威厳	The Majesty of Gods	眾神的威嚴	신들의 위엄	众神的威严
グングニル	Gungnir	永恆之矛	궁니르	永恒之矛
ミーミルの知恵	The Wisdom of Mimir	米米爾的智慧	미미르의 지혜	米米尔的智慧
ステラの所持数	Stella owned	星辰擁有數	소유한 스텔라 수	星辰拥有数
ステラ合成/秒	Stellas/sec	星辰合成/秒	스텔라 합성/초	星辰合成/秒
