		
No	ID	セリフ内容
1	100001	私の名前はエリス。シスターをしています。
2	100002	今日も1日頑張りましょう。
3	100003	いい天気ですね。いいことがありそうです。
4	100004	お手伝いできることがあれば言ってください。
5	100005	きゃ！急に触られるとびっくりしてしまいます。
6	100006	あら、私は先ほどまで何を……。
7	100007	何か大事なことを忘れてるような......？
8	100008	まぁ、そのうち思い出すでしょう。
9	100009	急にエッチな気分に......。
10	100010	どうしてしまったんでしょう......私......。
11	200001	今日は風が心地いいですね。
12	200002	なんだかいつもより体が軽いです。
13	200003	見られている気しますが気のせいでしょうか？
14	200004	もしかして寝ぐせが......!?
15	200005	なんだかドキドキしてしまいます。なんででしょう？
16	200006	疲れが見えますね？おっぱい揉みますか♡
17	200007	私のおっぱいでどうぞ癒されてください♡
18	200008	あん！女の子を触るときは優しくですよ♡
19	300001	なんだか今日は少し肌寒いですね。
20	300002	え？変な服装？普通の服だと思いますが......？
21	300003	今日も奉仕活動頑張ります！
22	300004	困っている人はいないでしょうか？
23	300005	あ！おちんぽがこんなに腫れて…...!?
24	300006	今すぐ私のおまんこで奉仕させていただきます♡
25	300007	おまんこしたくなったらいつでも言ってくださいね♡
26	300008	シスターがおちんぽ奉仕するのは普通ですから♡
27	400001	可愛らしい制服でドキドキしてしまいます！
28	400002	いらっしゃいませ！
29	400003	ご注文はお決まりですか？
30	400004	お決まりになりましたらお呼びください！
31	400005	ご利用いただき、ありがとうございました♡
32	400006	お客様のおちんぽにご奉仕をさせていただきます♡
33	400007	シコシコ、シコシコ♡
34	400008	おまんこでも奉仕いたします♡
35	500001	今日も償いの一日が始まります......。
36	500002	罪を償わなければ......。
37	500003	そういえば私は一体何の罪を......？
38	500004	どうか私に罪を償わせて下さい。
39	500005	おちんぽを気持ちよくして罪を償います♡
40	500006	どうか私の体で気持ちよくなってください♡
41	500007	贖罪行為なのに昂ってしまいます♡
42	500008	おちんぽ奉仕のおかげでまた償いができました♡
43	600001	イエーイ！元気～？
44	600002	テンションアゲアゲでがんばろ！
45	600003	ちょっとこれヤバくない？
46	600004	マジうける～！
47	600005	元気ない感じ～？おっぱい揉む？
48	600006	ちんぽビンビンじゃん、超うける。
49	600007	ムラムラしてきたからちんぽちょうだ～い♡
50	600008	いっぱいセックスしてすっきりした～
51	700001	もしよければ私とお話しませんか？
52	700002	この服かわいくて好きなんですよ。
53	700003	ひゃん、もう、気が早いですよ。
54	700004	なんだかエッチな気分になってきました。
55	700005	私の身体で気持ちよくなってください♡
56	700006	待ちきれなくておまんこ濡れてきてます♡
57	700007	ガチガチのおちんぽ恵んでください♡
58	700008	とっても男らしくて素敵ですね♡
59	100101	My name is Ellis. I'm a sister.
60	100102	I'll do my best today as well.
61	100103	Such a good weather. What a beautiful day.
62	100104	Please tell me if you need any help.
63	100105	Kya! It surprises me when you touch me so suddenly.
64	100106	Oh dear, what have I been doing until now......
65	100107	It feels like I'm forgetting something important......?
66	100108	Well, I should recall soon enough.
67	100109	I'm feeling naughty out of a sudden......
68	100110	What happened...... to me......
69	200101	The wind feels good today.
70	200102	My body feels lighter than usual.
71	200103	I feel like I'm being looked at, or am I just imagining things?
72	200104	Is it my bedhead......!?
73	200105	I'm feeling excited. I wonder why?
74	200106	You look tired. Would you like to touch some boobs?♡
75	200107	Please use my boobs to relax♡
76	200108	Ahhn! Please be gentle when touching a girl♡
77	300101	It's a bit chilly today.
78	300102	What? Strange outfit? It's just an ordinary outfit, though......?
79	300103	I'll do my best today!
80	300104	Does anybody needs help?
81	300105	Oh my! Your dick is so swollen......!?
82	300106	Please allow me to service you with my pussy right away♡
83	300107	Please tell me whenever you need my pussy♡
84	300108	It's typical for a sister to service a dick♡
85	400101	This pretty uniform makes me so thrilled!
86	400102	Welcome!
87	400103	Are you ready to order?
88	400104	Please call me when you're ready!
89	400105	Thank you for your support♡
90	400106	Please allow me to service your dick♡
91	400107	Stroke, stroke♡
92	400108	Please allow me to give service with my pussy, too♡
93	500101	Today's another day of atonement......
94	500102	I must atone for my sins......
95	500103	Speaking of which, what was my sin......?
96	500104	Please let me atone for my sins.
97	500105	I'll pleasure your dick to atone for my sins♡
98	500106	Please enjoy my body♡
99	500107	It's supposed to be an act of atonement, but I'm getting aroused♡
100	500108	Thanks to the dick service, I was able to atone for my sins again♡
101	600101	Yay! You good?
102	600102	Get hyped! Let's go!
103	600103	OMG really?
104	600104	LMAO!
105	600105	Feeling down? What some boobs?
106	600106	Your dick's totally stiff lol.
107	600107	I'm getting horny, so give me your dick♡
108	600108	Having lots of sex is so refreshing～
109	700101	Would you like to talk to me?
110	700102	This clothes is cute, I love it.
111	700103	Hyah, oh please, don't be so hasty.
112	700104	I'm starting to feel kind of naughty.
113	700105	Please pleasure yourself with my body♡
114	700106	My pussy's getting wet from all the waiting♡
115	700107	Please, give me your rock-solid dick♡
116	700108	It's so manly, how wonderful♡
